"Gene","Module"
"bgh01139","turquoise"
"bgh01332","red"
"bgh01598","turquoise"
"bgh02882","green"
"bgh05381","green"
"bgh01957","turquoise"
"bghG000556000001001","brown"
"bgh00018","brown"
"bgh02753","brown"
"bgh02885","blue"
"bgh05521","blue"
"bgh00312","yellow"
"bgh00313","turquoise"
"bgh00198","red"
"bgh01135","green"
"bgh05331","turquoise"
"bgh05752","green"
"bgh03064","turquoise"
"bgh03030","red"
"bgh02375","turquoise"
"bgh01660","turquoise"
"bgh00540","blue"
"bgh01353","yellow"
"bgh01140","brown"
"bgh01141","turquoise"
"bgh01219","black"
"bgh01132","green"
"bgh02716","turquoise"
"bgh02720","black"
"bgh02886","red"
"bgh01346","black"
"bgh02879","turquoise"
"bgh02888","blue"
"bghG000584000001001","blue"
"bgh00001","green"
"bgh00217","turquoise"
"bgh05724","turquoise"
"bgh06671","red"
"bgh01606","brown"
"bgh02944","blue"
"bgh05612","blue"
"bgh02598","blue"
"bgh05812","yellow"
"bgh06503","blue"
"bgh02596","turquoise"
"bgh00307","blue"
"bgh00990","yellow"
"bgh03198","green"
"bgh05937","magenta"
"bgh06005","yellow"
"bghG000610000001001","blue"
"bgh04608","red"
"bgh04611","black"
"bgh00241","brown"
"bgh05209","black"
"bgh03970","brown"
"bgh06587","brown"
"bghG000610000002001","blue"
"bgh04614","blue"
"bgh04690","blue"
"bgh04416","red"
"bgh01137","black"
"bgh04419","brown"
"bghG000619000001001","red"
"bgh06069","brown"
"bgh00112","green"
"bgh00152","yellow"
"bghG000623000001001","green"
"bgh06094","blue"
"bghG000625000001001","blue"
"bgh01046","yellow"
"bgh04178","pink"
"bgh05819","red"
"bgh05956","yellow"
"bgh03070","yellow"
"bgh04173","yellow"
"bgh04175","turquoise"
"bgh05727","blue"
"bgh05802","brown"
"bgh01048","blue"
"bgh06964","blue"
"bgh01050","turquoise"
"bgh04172","blue"
"bgh05328","blue"
"bghG000636000001001","turquoise"
"bgh01049","turquoise"
"bgh00125","brown"
"bgh00105","turquoise"
"bghG000646000001001","brown"
"bgh01045","blue"
"bgh03378","black"
"bgh04831","green"
"bgh06526","turquoise"
"bghG000653000001001","brown"
"bghG000655000001001","blue"
"bgh02989","brown"
"bgh03900","turquoise"
"bgh00765","blue"
"bgh03521","turquoise"
"bgh06846","turquoise"
"bghG000663000001001","turquoise"
"bghG000663000002001","blue"
"bgh02981","black"
"bgh00552","brown"
"bgh04934","turquoise"
"bghG000679000001001","blue"
"bgh00281","green"
"bgh06147","turquoise"
"bgh00497","blue"
"bgh03123","yellow"
"bgh01344","turquoise"
"bgh03125","yellow"
"bgh04989","turquoise"
"bgh01922","brown"
"bgh01924","blue"
"bgh00557","turquoise"
"bgh01927","turquoise"
"bghG000682000001001","blue"
"bgh01923","brown"
"bgh05552","yellow"
"bghG000684000003001","black"
"bghG000684000004001","blue"
"bgh04578","brown"
"bghG000684000001001","red"
"bgh00936","red"
"bghG000684000002001","blue"
"bgh02557","red"
"bgh05268","red"
"bgh01340","blue"
"bgh04993","blue"
"bgh06589","brown"
"bgh02530","turquoise"
"bghG000685000002001","blue"
"bgh05315","brown"
"bgh01343","brown"
"bgh01345","brown"
"bgh02834","pink"
"bgh01347","green"
"bgh01356","turquoise"
"bgh05341","yellow"
"bgh03523","red"
"bghG000692000001001","turquoise"
"bgh00611","turquoise"
"bgh04649","turquoise"
"bgh02946","red"
"bgh05641","turquoise"
"bgh01349","turquoise"
"bgh01350","green"
"bgh04990","turquoise"
"bgh02947","blue"
"bgh04042","blue"
"bgh01354","brown"
"bgh05975","red"
"bgh01352","turquoise"
"bghG000697000001001","yellow"
"bgh01359","brown"
"bgh01355","blue"
"bgh02532","turquoise"
"bgh03022","turquoise"
"bghG000700000001001","blue"
"bgh00189","blue"
"bgh05483","turquoise"
"bgh02540","blue"
"bgh03067","blue"
"bgh03668","brown"
"bgh02542","brown"
"bgh06775","yellow"
"bgh03086","blue"
"bgh05989","yellow"
"bgh03091","blue"
"bgh02548","red"
"bghG000714000001001","turquoise"
"bgh02549","green"
"bgh04514","pink"
"bghG000718000001001","turquoise"
"bgh01989","turquoise"
"bgh03103","brown"
"bgh06932","magenta"
"bgh00159","green"
"bgh01762","brown"
"bgh03113","blue"
"bgh03110","turquoise"
"bghG000724000001001","turquoise"
